ABX       ,,ACCO      ,
ACCO      ,,ACXM      ,
ACTG      ,,ADTN      ,
ACXM      ,,AEO       ,
ADTN      ,,ALU       ,
AEGR      ,,AMKR      ,
AEM       ,,ARIA      ,
AEO       ,,ASNA      ,
AGI       ,,ATML      ,
AKS       ,,BCOR      ,
ALU       ,,BSBR      ,
AMKR      ,,CIEN      ,
ANF       ,,CIG       ,
APA       ,,COH       ,
APOL      ,,CROX      ,
ARCP      ,,CSOD      ,
ARIA      ,,CY        ,
ARNA      ,,DB        ,
ARP       ,,DDD       ,
ARUN      ,,DMND      ,
ASNA      ,,EXPR      ,
ATI       ,,FBP       ,
ATML      ,,FNSR      ,
ATLS      ,,HMSY      ,
ATW       ,,IDCC      ,
AU        ,,JNPR      ,
AUO       ,,JOE       ,
AUQ       ,,MDRX      ,
AUY       ,,MLNX      ,S
AVP       ,,MPEL      ,
BAK       ,,NSR       ,S
BBEP      ,,NUAN      ,
BBRY      ,,NXTM      ,S
BCEI      ,,OVTI      ,
BCOR      ,,QIHU      ,
BGC       ,,RAX       ,
BHP       ,,RMBS      ,S
BITA      ,,ROVI      ,S
BLOX      ,,SGMS      ,S
BSBR      ,,SHLD      ,
BTE       ,,SINA      ,
BTU       ,,SVU       ,
BVN       ,,SWC       ,S
BWP       ,,TRN       ,
CAMP      ,,TSU       ,S
CBI       ,,TX        ,
CCJ       ,,VNET      ,
CEQP      ,,XLRN      ,
CIEN      ,,XXIA      ,S
CIE       ,,YOKU      ,S
CLB       ,,,
CLDX      ,,,
CLF       ,,,
CLR       ,,,
CLVS      ,,,
CMCM      ,,,
CMLS      ,,,
COH       ,,,
CONN      ,,,
COUP      ,,,
CPL       ,,,
CREE      ,,,
CROX      ,,,
CRR       ,,,
CRTO      ,,,
CRUS      ,,,
CRZO      ,,,
CS        ,,,
CSIQ      ,,,
CSLT      ,,,
CSOD      ,,,
CSTM      ,,,
CTCM      ,,,
CVE       ,,,
CVLT      ,,,
CVRR      ,,,
CY        ,,,
CZR       ,,,
CZZ       ,,,
DANG      ,,,
DB        ,,,
DDD       ,,,
DMND      ,,,
DNR       ,,,
DO        ,,,
DSX       ,,,
DV        ,,,
DWA       ,,,
EC        ,,,
ECA       ,,,
ECR       ,,,
EGHT      ,,,
EGO       ,,,
EJ        ,,,
ELP       ,,,
EMES      ,,,
EPE       ,,,
EPZM      ,,,
ERF       ,,,
ESV       ,,,
EVEP      ,,,
EXPR      ,,,
FBP       ,,,
FCAU      ,,,
FCX       ,,,
FET       ,,,
FEYE      ,,,
FI        ,,,
FMSA      ,,,
FNGN      ,,,
FNSR      ,,,
FSLR      ,,,
FTK       ,,,
FUEL      ,,,
GBX       ,,,
GDOT      ,,,
GES       ,,,
GFI       ,,,
GG        ,,,
GGB       ,,,
GHL       ,,,
GLF       ,,,
GLNG      ,,,
GNW       ,,,
GOGO      ,,,
GOLD      ,,,
GPOR      ,,,
GPRE      ,,,
GPRO      ,,,
GRPN      ,,,
GSAT      ,,,
GTE       ,,,
GTLS      ,,,
GWPH      ,,,
HA        ,,,
HCLP      ,,,
HEES      ,,,
HIMX      ,,,
HL        ,,,
HLF       ,,,
HMSY      ,,,
HMY       ,,,
HOS       ,,,
HP        ,,,
HSC       ,,,
IAG       ,,,
ICA       ,,,
ICPT      ,,,
IDCC      ,,,
IOC       ,,,
IRE       ,,,
JCP       ,,,
JE        ,,,
JMEI      ,,,
JNPR      ,,,
JOE       ,,,
JOY       ,,,
KBH       ,,,
KBR       ,,,
KGC       ,,,
KITE      ,,,
KOS       ,,,
LE        ,,,
LFL       ,,,
LGCY      ,,,
LINE      ,,,
LL        ,,,
LNCO      ,,,
LOCK      ,,,
LOCO      ,,,
LPI       ,,,
MBT       ,,,
MDRX      ,,,
MDXG      ,,,
MLNX      ,,,
MNKD      ,,,
MPEL      ,,,
MRC       ,,,
MT        ,,,
MTOR      ,,,
MTZ       ,,,
NAT       ,,,
NAV       ,,,
NBR       ,,,
